vectorized_elementwise_kernel,elementwise_kernel,reduce_kernel,unrolled_elementwise_kernel,index_elementwise_kernel
0,53.49,60.65,0,2.16
0,0.63,60.69,0,9.72
0,53.15,37.13,0,2.56
0,0.6,0,0,9.72
0,53.21,0,0,2.61
0,0.61,0,0,9.72
0,53.33,9.92,0,2.26
0,0.68,9.92,0,9.72
0,53.38,0,0,2.56
0,0.68,60.69,0,9.72
0,53.09,60.96,0,2.46
0,0.64,60.56,0,9.72
0,53.4,37.14,0,2.4
0,0.68,0,0,9.72
0,53.35,0,0,2.16
0,0.64,0,0,9.72
0,53.4,9.83,0,2.42
0,0.61,9.92,0,9.72
0,53.52,0,0,2.21
0,0.61,60.47,0,9.72
0,53.27,60.78,0,2.39
0,0.6,60.68,0,9.72
0,53.24,37.14,0,2.4
0,0.66,0,0,9.72
0,53.06,0,0,2.32
0,0.59,0,0,9.72
0,53.49,9.91,0,2.41
0,0.72,9.85,0,9.72
0,53.29,0,0,2.36
0,0.69,60.66,0,9.72
0,53.31,60.63,0,2.22
0,0.64,60.77,0,9.72
0,53.72,37.12,0,2.49
0,0.74,0,0,9.72
0,53.43,0,0,2.34
0,0.71,0,0,9.72
0,53.1,9.89,0,2.51
0,0.66,9.91,0,9.72
0,53.92,0,0,2.68
0,0.7,60.6,0,9.72
0,53.35,60.54,0,2.87
0,0.68,60.56,0,9.72
0,53.58,37.13,0,2.25
0,0.69,0,0,9.72
0,53.15,0,0,2.62
0,0.66,0,0,9.72
0,53.22,9.97,0,2.39
0,0.63,9.88,0,9.72
0,53.34,0,0,2.48
0,0.66,60.55,0,9.72
0,53.42,60.88,0,2.21
0,0.66,60.69,0,9.72
0,53.38,37.14,0,2.33
0,0.65,0,0,9.72
0,53.57,0,0,2.42
0,0.56,0,0,9.72
0,53.31,9.91,0,2.43
0,0.65,9.94,0,9.72
0,53.41,0,0,2.51
0,0.63,60.62,0,9.72
0,53.39,60.65,0,2.85
0,0.73,60.72,0,9.72
0,53.78,37.11,0,2.22
0,0.62,0,0,9.72
0,53.39,0,0,2.26
0,0.7,0,0,9.72
0,53.15,9.84,0,2.49
0,0.63,9.83,0,9.72
0,53.32,0,0,2.33
0,0.7,60.52,0,9.72
0,53.52,60.69,0,2.82
0,0.64,60.67,0,9.72
0,53.6,37.14,0,2.49
0,0.6,0,0,9.72
0,53.71,0,0,2.31
0,0.71,0,0,9.72
0,53.34,9.92,0,2.43
0,0.67,9.98,0,9.72
0,53.37,0,0,2.2
0,0.65,60.47,0,9.72
0,53.29,60.88,0,2.39
0,0.65,60.87,0,9.72
0,53.24,37.13,0,2.52
0,0.61,0,0,9.72
0,53.26,0,0,2.67
0,0.66,0,0,9.72
0,53.55,9.98,0,2.65
0,0.56,9.95,0,9.72
0,53.4,0,0,2.44
0,0.65,60.6,0,9.72
0,53.68,60.76,0,3.04
0,0.76,60.78,0,9.72
0,53.54,37.13,0,2.58
0,0.63,0,0,9.72
0,53.28,0,0,2.25
0,0.66,0,0,9.72
0,53.57,9.91,0,2.37
0,0.69,9.91,0,9.72
0,53.86,0,0,2.38
0,0.55,60.63,0,9.72
0,53.37,60.87,0,2.27
0,0.68,60.82,0,9.72
0,53.28,37.13,0,2.74
0,0.62,0,0,9.72
0,53.43,0,0,2.62
0,0.68,0,0,9.72
0,53.4,9.99,0,2.18
0,0.64,9.91,0,9.72
0,53.54,0,0,2.56
0,0.68,60.48,0,9.72
0,53.49,60.88,0,2.63
0,0.69,60.81,0,9.72
0,53.38,37.13,0,2.71
0,0.64,0,0,9.72
0,53.4,0,0,2.26
0,0.61,0,0,9.72
0,53.37,9.97,0,2.13
0,0.66,9.89,0,9.72
0,53.23,0,0,2.15
0,0.66,60.5,0,9.72
0,53.17,60.57,0,2.2
0,0.65,60.74,0,9.72
0,53.45,37.14,0,2.7
0,0.67,0,0,9.72
0,53.24,0,0,2.54
0,0.62,0,0,9.72
0,53.06,9.91,0,3.14
0,0.67,9.92,0,9.72
0,53.34,0,0,2.55
0,0.65,60.74,0,9.72
0,53.33,60.86,0,2.51
0,0.7,60.75,0,9.72
0,53.61,37.13,0,2.22
0,0.68,0,0,9.72
0,53.35,0,0,2.33
0,0.64,0,0,9.72
0,53.25,9.88,0,2.27
0,0.67,9.9,0,9.72
0,53.45,0,0,2.48
0,0.67,60.43,0,9.72
0,53.2,60.74,0,2.89
0,0.66,60.67,0,9.72
0,53.42,37.12,0,2.31
0,0.68,0,0,9.72
0,53.24,0,0,2.58
0,0.64,0,0,9.72
0,53.5,9.93,0,2.78
0,0.6,9.85,0,9.72
0,53.23,0,0,2.69
0,0.76,60.53,0,9.67
0,53.08,60.79,0,2.57
0,0.63,60.49,0,0.18
0,53.35,37.14,0,0.18
0,0.63,0,0,0.18
0,53.09,0,0,9.74
0,0.63,0,0,9.81
0,53.44,9.92,0,9.72
0,0.67,9.86,0,9.74
0,53.27,0,0,9.81
0,0.6,60.62,0,9.74
0,53.34,60.44,0,9.72
0,0.65,60.77,0,9.83
0,53.68,37.12,0,9.74
0,0.66,0,0,9.74
0,53.56,0,0,9.83
0,0.69,0,0,9.72
0,53.14,9.93,0,9.74
0,0.65,9.92,0,9.77
0,53.29,0,0,9.74
0,0.64,60.58,0,9.72
0,53.44,60.85,0,9.79
0,0.6,60.61,0,9.72
0,53.32,37.12,0,9.74
0,0.63,0,0,9.81
0,53.3,0,0,9.72
0,0.65,0,0,9.72
0,53.24,9.91,0,9.74
0,0.72,9.87,0,9.72
0,53.41,0,0,9.74
0,0.75,60.61,0,9.74
0,53.66,60.72,0,9.72
0,0.69,60.81,0,9.79
0,53.4,37.15,0,9.79
0,0.63,0,0,9.77
0,53.27,0,0,9.74
0,0.59,0,0,9.79
0,53.31,9.97,0,9.72
0,0.62,9.93,0,9.74
0,53.54,0,0,9.79
0,0.64,60.53,0,9.72
0,53.21,60.71,0,9.74
0,0.64,60.58,0,9.83
0,53.21,37.15,0,9.74
0,0.61,0,0,9.79
0,53.55,0,0,9.79
0,0.71,0,0,9.72
0,53.32,9.88,0,9.77
0,0.64,9.85,0,9.79
0,53.22,0,0,9.72
0,0.65,60.71,0,9.72
0,53.33,60.58,0,9.83
0,0.63,60.64,0,9.72
0,53.24,37.13,0,9.72
0,0.64,0,0,9.74
0,53.26,0,0,9.72
0,0.7,0,0,9.74
0,53.33,10.01,0,9.77
0,0.62,9.92,0,9.72
0,53.38,0,0,9.72
0,0.59,60.51,0,9.79
0,53.35,60.74,0,9.72
0,0.68,60.8,0,9.72
0,53.37,37.15,0,9.77
0,0.62,0,0,9.72
0,53.23,0,0,9.72
0,0.71,0,0,9.81
0,53.38,10.03,0,9.77
0,0.66,9.92,0,9.72
0,53.33,0,0,9.74
0,0.66,60.7,0,9.72
0,53.26,60.64,0,9.79
0,0.64,60.8,0,9.81
0,53.19,37.13,0,9.79
0,0.66,0,0,9.74
0,53.3,0,0,9.81
0,0.69,0,0,9.72
0,53.26,9.88,0,9.77
0,0.64,9.97,0,9.72
0,53.34,0,0,9.72
0,0.65,60.64,0,9.79
0,54.01,60.66,0,9.83
0,0.61,60.56,0,9.72
0,53.18,37.16,0,9.72
0,0.69,0,0,9.74
0,53.43,0,0,9.72
0,0.61,0,0,9.72
0,53.66,9.92,0,9.74
0,0.64,9.97,0,9.72
0,53.21,0,0,9.72
0,0.66,60.67,0,9.81
0,53.15,60.6,0,9.77
0,0.64,60.62,0,9.72
0,53.44,37.14,0,9.83
0,0.64,0,0,9.72
0,53.26,0,0,9.72
0,0.66,0,0,9.77
0,53.28,10.03,0,9.72
0,0.67,9.79,0,9.72
0,53.61,0,0,9.77
0,0.67,60.56,0,9.74
0,53.34,60.77,0,9.72
0,0.6,60.78,0,9.79
0,53.64,37.12,0,9.74
0,0.64,0,0,9.74
0,53.36,0,0,9.81
0,0.61,0,0,9.74
0,53.37,9.93,0,9.72
0,0.7,9.85,0,9.77
0,53.08,0,0,9.72
0,0.64,60.81,0,9.72
0,53.79,60.82,0,9.77
0,0.7,60.67,0,9.72
0,53.32,37.15,0,9.72
0,0.69,0,0,9.79
0,53.71,0,0,9.72
0,0.65,0,0,9.77
0,53.52,9.93,0,9.77
